33.0,0.0,57.95256823,0.0,0.0,0.0,9.090990051,0.0,0.0,0.0,2.0,5.0,4.0,1.0,0.0,0.0,0.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,74.0
25.0,0.0,26.51923489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,6.0,1.0,0.0,0.0,0.0,1.0,6.0,2.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,61.0
7.0,0.0,56.38590156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,14.0,0.0,2.0,0.0,1.0,0.0,0.0,53.0
14.0,0.0,19.23590156,0.0,0.0,0.0,22.05765672,0.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,10.0,0.0,1.0,0.0,1.0,0.0,0.0,72.0
3.0,1.0,0.0,0.0,0.0,2.74550894,0.0,0.0,0.0,0.0,2.0,3.0,5.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,7.0,0.0,2.0,0.0,1.0,0.0,0.0,56.0
17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,0.0,0.0,2.0,0.0,0.0,5.0,1.0,20.0,0.0,2.0,1.0,0.0,1.0,0.0,70.0
16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,5.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,12.0,0.0,0.0,0.0,1.0,0.0,0.0,78.0
36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,6.0,0.0,1.0,2.0,0.0,0.0,5.0,2.0,24.0,0.0,0.0,1.0,0.0,2.0,0.0,82.0
35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,3.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,67.0
1.0,0.0,22.40256823,0.0,0.0,0.0,0.0,58.15937974,0.0,0.0,2.0,0.0,6.0,0.0,1.0,2.0,0.0,0.0,5.0,1.0,21.0,0.0,0.0,1.0,0.0,2.0,0.0,80.0
